Здравствуйте | Zdravstvuyte | Hello | [sound:ic_Zdravstvuyte.mp3] 
Привет! | Privet! | Hi! | [sound:ic_Privet!.mp3] 
Спасибо | Spasibo | Thank you | [sound:ic_Spasibo.mp3] 
Извините | Izvinite | Excuse me (I'm sorry) | [sound:ic_Izvinite.mp3] 
Пожалуйста | Pozhaluysta | Please, you're welcome | [sound:ic_Pozhaluysta.mp3] 
Ваше здоровье! | Vashe zdorov'e! | Cheers! | [sound:ic_Vashe_zdorov'e!.mp3] 
До свидания | Do svidaniya | Goodbye | [sound:ic_Do_svidaniya.mp3] 
Сколько это стоит? | Skol'ko eto stoit? | How much is it? | [sound:ic_Skol'ko_eto_stoit?.mp3] 
Чек, пожалуйста | Chek, pozhaluysta | The check, please | [sound:ic_Chek,_pozhaluysta.mp3] 
Где находится туалет? | Gde nakhoditsya tualet? | Where is the bathroom? | [sound:ic_Gde_nakhoditsya_tualet?.mp3] 
Россия | Rossiya | Russia | [sound:ic_Rossiya.mp3] 
Русский | Russkiy | Russian (language) | [sound:ic_Russkiy.mp3] 
Рубль | Rubl' | Ruble (Russian currency) | [sound:ic_Rubl'.mp3] 
Да | Da | Yes | [sound:ic_Da.mp3] 
Нет | Net | No | [sound:ic_Net.mp3] 
Один (одна, одно) … | Odin (odna, odno) … | One … | [sound:ic_Odin_(odna,_odno)_….mp3] 
Два (две, два) … | Dva (dve, dva) … | Two … | [sound:ic_Dva_(dve,_dva)_….mp3] 
Три | Tri | Three (3) | [sound:ic_Tri.mp3] 
Это | Eto | This, that, these, those, it's | [sound:ic_Eto.mp3] 
Очень хороший | Ochen' khoroshiy | Very good | [sound:ic_Ochen'_khoroshiy.mp3] 
Красивый (красивая, красивое) | Krasivyi (krasivaya, krasivoe) | Beautiful, handsome | [sound:ic_Krasivyi_(krasivaya,_krasivoe).mp3] 
Вкусный (вкусная, вкусное) | Vkusnyi (vkusnaya, vkusnoe) | Delicious | [sound:ic_Vkusnyi_(vkusnaya,_vkusnoe).mp3] 
Мне нравится | Mne nravitsya | I like it | [sound:ic_Mne_nravitsya.mp3] 
Ладно | Ladno | OK, all right | [sound:ic_Ladno.mp3] 
